ID_PESS,ZONA_D
10001101,3
10001101,1
10001102,82
10001102,84
10001102,1
10002101,1
10002102,1
10002103,26
10002103,1
10002104,5
10002104,35
10002104,1
10003101,0
10003102,1
10003102,2
10005101,0
10008101,54
10008101,1
10008102,50
10008102,1
10009101,53
10009101,1
10009102,23
10009102,1
10009102,79
10009103,0
10010101,0
10011101,168
10011101,1
10011102,0
10012101,0
10012102,0
10013101,3
10013101,1
10013101,62
10015101,478
10015101,1
10015102,0
10018101,27
10018101,25
10018101,76
10018101,1
10018102,27
10018102,158
10018103,27
10018103,76
10018104,153
10018104,27
10018104,158
10018104,53
10018104,1
10020101,0
10020102,1
10020102,24
10020103,7
10020103,1
10020104,485
10020104,1
10022101,27
10022101,1
10024101,1
10024101,61
10024102,5
10024102,1
10027101,4
10027101,1
10027102,4
10027102,1
10027103,112
10027103,1
10027104,24
10027104,1
10027105,24
10027105,1
10027106,24
10027106,1
10030101,22
10030101,1
10030102,43
10030102,1
10031101,144
10031101,134
10031101,1
10031102,29
10031102,79
10031102,1
10033101,12
10033101,1
10033102,0
10033103,20
10033103,1
10034101,10
10034101,7
10034101,1
10034102,10
10034102,1
10034103,10
10034103,1
10039101,27
10039101,1
10039101,24
10039102,66
10039102,1
10039103,0
10040101,0
10040102,339
10040102,1
10041101,30
10041101,67
10041101,1
10041102,30
10041102,1
10043101,43
10043101,1
10043102,25
10043102,1
10043103,2
10043103,1
10044101,24
10044101,1
10049101,201
10049101,1
10049102,0
10309101,0
10309102,78
10309102,79
10309102,1
10313101,6
10313101,1
10338101,49
10338101,1
10344101,0
10345101,31
10345101,1
10347101,4
10347101,1
10347102,1
10349101,1
10349101,20
10349102,1
10349103,20
10349103,1
10360101,1
10364101,1
10364101,2
10364102,19
10364102,1
10659101,81
10659101,1
10665101,2
10665101,1
10665102,2
10665102,1
10671101,31
10671101,1
10671102,0
10671103,2
10671103,1
10671104,31
10671104,1
10671104,4
10671105,31
10671105,1
10671105,4
10675101,77
10675101,1
10675102,0
10679101,3
10679101,1
10679102,0
10680101,3
10680101,1
10682101,28
10682101,1
10682101,5
10682102,30
10682102,1
10682102,5
10691101,0
10691102,18
10691102,1
10718101,1
10746101,3
10746101,1
10746101,84
10762101,30
10762101,1
10774101,165
10774101,1
10774102,36
10774102,1
10786101,1
10786102,16
10786102,1
10798101,3
10798101,1
10800101,270
10800101,1
10800102,0
20002101,0
20005101,0
20005102,0
20013101,57
20013101,2
20019101,136
20019101,2
20025101,170
20025101,2
20025101,75
20025102,0
20025103,0
20045101,7
20045101,2
20045102,0
20045103,7
20045103,2
20046101,0
20046102,2
20046102,1
20046103,0
20046104,2
20312101,7
20312101,129
20312101,131
20312101,2
20312102,7
20312102,2
20318101,79
20318101,2
20321101,2
20321101,1
20321102,2
20321102,1
20321103,0
20324101,2
20324102,0
20324103,0
20327101,2
20327102,7
20327102,2
20327103,131
20327103,2
20327104,7
20327104,2
20330101,6
20330101,1
20330101,2
20330101,17
20330102,0
20330103,73
20330103,275
20333101,68
20333101,2
20333102,65
20333102,2
20344101,2
20361101,6
20361101,2
20365101,4
20365101,2
20381101,12
20381101,2
20384101,81
20384101,2
20384102,0
20404101,0
20431101,0
20459101,7
20459101,2
20459102,0
20459103,0
20459104,7
20459104,2
20497101,2
20498101,16
20498101,2
20498102,16
20498102,2
20498103,16
20498103,2
20498104,16
20498104,7
20498104,2
20543101,374
20543101,2
20543101,370
20543102,370
20543103,0
20543104,0
20543105,2
20558101,78
20558101,2
20564101,7
20564101,2
20564102,2
20564103,489
20564103,2
20564104,35
20564104,2
20640101,2
20646101,7
20646101,2
20646102,7
20646102,2
20654101,82
20654101,2
20654102,229
20654102,2
20803101,73
20803101,2
20803102,300
20803102,2
20803103,0
20811101,2
20811102,0
20811103,2
20812101,300
20812101,2
20812101,17
20812102,300
20812102,2
20812102,169
20812103,2
20822101,1
20822101,2
20822102,0
20822103,0
20830101,0
20830102,339
20830102,2
20831101,2
20831101,13
20831102,12
20831102,5
20831102,2
20831103,12
20831103,5
20831103,2
20832101,17
20832101,2
20836101,7
20836101,2
20843101,5
20843101,2
20843102,5
20843102,2
20852101,14
20852101,2
20860101,0
20877101,20
20877101,2
20877101,3
20877102,20
20877102,2
20877102,3
20877103,3
20877103,2
20877104,0
20877105,3
20877105,2
20877105,20
20905101,6
20905101,2
20905102,6
20905102,2
20979101,2
21080101,0
21305101,3
21305101,2
21660101,0
21660102,27
21660102,2
21660103,0
21663101,6
21663101,2
21664101,0
21664102,0
21723101,82
21723101,2
21723101,6
21723101,24
30002101,0
30003101,0
30004101,0
30004102,0
30004103,0
30004104,0
30004105,0
30007101,0
30008101,0
30012101,0
30012102,5
30012102,3
30016101,0
30017101,0
30018101,0
30027101,0
30037101,15
30037101,3
30037102,0
30037103,0
30039101,239
30039101,3
30046101,24
30046101,3
30051101,31
30051101,3
30318101,57
30318101,3
30318101,26
30318102,57
30318102,3
30318103,57
30318103,3
30330101,1
30330101,3
30330102,2
30330102,3
30705101,24
30705101,3
30705102,20
30705102,3
30705103,2
30705103,3
30705103,24
30705104,24
30705104,3
30705105,24
30705105,3
30705106,24
30705106,3
30710101,18
30710101,3
30710102,3
30710103,24
30710103,3
30710104,0
30710105,18
30710105,3
30713101,0
30713102,0
30713103,6
30713103,3
30721101,59
30721101,3
30721102,329
30721102,5
30721102,3
30721103,59
30721103,3
30721104,8
30721104,3
30723101,0
30723102,0
30725101,3
30725102,280
30725102,3
30727101,3
30727101,2
30727102,3
30727102,49
30731101,1
30731101,3
30732101,74
30732101,3
